Gameweek,Date,HomeTeam,AwayTeam
35,2026-05-02 15:00:00,Wolves,Sunderland
36,2026-05-09 15:00:00,Brighton,Wolves
36,2026-05-09 15:00:00,Burnley,Aston Villa
36,2026-05-09 15:00:00,Crystal Palace,Everton
36,2026-05-09 15:00:00,Fulham,Bournemouth
36,2026-05-09 15:00:00,Liverpool,Chelsea
36,2026-05-09 15:00:00,Man City,Brentford
36,2026-05-09 15:00:00,Nott'm Forest,Newcastle
36,2026-05-09 15:00:00,Sunderland,Man Utd
36,2026-05-09 15:00:00,Spurs,Leeds
36,2026-05-09 15:00:00,West Ham,Arsenal
37,2026-05-17 15:00:00,Arsenal,Burnley
37,2026-05-17 15:00:00,Aston Villa,Liverpool
37,2026-05-17 15:00:00,Bournemouth,Man City
37,2026-05-17 15:00:00,Brentford,Crystal Palace
37,2026-05-17 15:00:00,Chelsea,Spurs
37,2026-05-17 15:00:00,Everton,Sunderland
37,2026-05-17 15:00:00,Leeds,Brighton
37,2026-05-17 15:00:00,Man Utd,Nott'm Forest
37,2026-05-17 15:00:00,Newcastle,West Ham
37,2026-05-17 15:00:00,Wolves,Fulham
38,2026-05-24 16:00:00,Brighton,Man Utd
38,2026-05-24 16:00:00,Burnley,Wolves
38,2026-05-24 16:00:00,Crystal Palace,Arsenal
38,2026-05-24 16:00:00,Fulham,Newcastle
38,2026-05-24 16:00:00,Liverpool,Brentford
38,2026-05-24 16:00:00,Man City,Aston Villa
38,2026-05-24 16:00:00,Nott'm Forest,Bournemouth
38,2026-05-24 16:00:00,Sunderland,Chelsea
38,2026-05-24 16:00:00,Spurs,Everton
38,2026-05-24 16:00:00,West Ham,Leeds
